IDs,priority_tier,consensus_outlier_score,ligand_outlier,metal_connectivity_outlier,metal_oxidation_outlier,metal,formula,n_atoms,ilp_neighbors,reference_neighbors,ilp_oxidation,reference_oxidation
DAQFUX,B,2,1,0,1,Mn,C38 H31 Mn1 N1 O4 P2 1+,77,C C C C P P,C C C C P P,3,1
DAQSIX,B,2,1,0,1,V,C10 H6 N4 O7 V1 1-,28,N N O O O O O,N N O O O O O,3,5
DARNAN,B,2,1,0,1,Pd,C24 H19 N3 O3 Pd1 S1,51,N N N O,N N N O,4,2
DAWXEE,B,2,1,0,1,Cr,C17 H23 Cr1 N1 O6,48,C C C C C C,C C C C C C,2,0
DAZLOG,B,2,1,0,1,V,C19 H18 N5 O3 V1,46,N N N O O O,N N N O O O,3,5
DECKAZ,B,2,1,0,1,Fe,C11 H19 Cl2 Fe1 N2 P1,36,Cl Cl N P,Cl Cl N P,4,2
DEPTUN,B,2,1,0,1,Cr,C22 H15 Cr1 N1 O5,44,C C C C C C,C C C C C C,2,0
DETCIP,B,2,1,0,1,V,C12 H14 B1 N8 O3 V1,39,N N N N O O O,N N N N O O O,3,5
DEWXEJ,B,2,1,0,1,Ni,C20 H16 N6 Ni1 O2,45,N N N N,N N N N,4,2
DEWXOT,B,2,1,0,1,Ni,C24 H24 N6 Ni1 O2,57,N N N N,N N N N,4,2
DEWXUZ,B,2,1,0,1,Ni,C24 H24 N6 Ni1 O2,57,N N N N,N N N N,4,2
DEXCEP,B,2,1,0,1,Os,C18 H24 Cl2 N4 O2 Os1 S2,53,Cl Cl N N S S,Cl Cl N N S S,4,2
DEXCIT,B,2,1,0,1,Os,C9 H22 Cl2 N2 O3 Os1 S3,42,Cl Cl N S S S,Cl Cl N S S S,4,2
DEXCOZ,B,2,1,0,1,Os,C13 H24 Cl2 N2 O3 Os1 S3,48,Cl Cl N S S S,Cl Cl N S S S,4,2
DEXCUF,B,2,1,0,1,Os,C10 H20 Cl2 N4 O2 Os1 S2,41,Cl Cl N N S S,Cl Cl N N S S,4,2
DEXDOA,B,2,1,0,1,Os,C9 H22 Cl2 N2 O3 Os1 S3,42,Cl Cl N S S S,Cl Cl N S S S,4,2
DIGFAB,B,2,1,0,1,Pd,C20 H15 N5 O2 Pd1,43,N N N O,N N N O,4,2
DIPVUV,B,2,1,0,1,Au,C5 H5 Au1 Cl1 N1 O1,14,C Cl,C Cl,3,1
DISQON,B,2,1,0,1,Pd,C35 H35 Cl1 N2 Pd1,74,C Cl N N,C Cl N N,4,2
DIVQEH,B,2,1,1,0,Ni,C25 H40 N4 Ni1,70,C C C C H,C C C C,0,0
DODFAE,B,2,1,0,1,Ni,C34 H39 N3 Ni1 O1,78,C N N N,C N N N,4,2
DODFEI,B,2,1,0,1,Ni,C37 H37 N3 Ni1 O1,79,C N N N,C N N N,4,2
DOGDUA,B,2,1,0,1,Zr,C33 H29 B1 F10 Si1 Zr1,75,C C C C C C C C C C C C,C C C C C C C C C C C C C,2,4
DOGFIQ,B,2,1,0,1,Zr,C32 H25 B1 F10 Si1 Zr1,70,C C C C C C C C C C C C,C C C C C C C C C C C C C,2,4
DOKZEK,B,2,1,0,1,Pd,C19 H33 Cl1 N1 O1 P1 Pd1,57,C Cl N P,C Cl N P,4,2
DOLYUB,B,2,1,0,1,Au,C33 H34 Au1 Cl1 N2,71,C Cl,C Cl,3,1
DOLZIQ,B,2,1,0,1,Au,C33 H34 Au1 Cl1 N2 O1,72,C Cl,C Cl,3,1
DOMDOA,B,2,1,0,1,Fe,C20 H26 Cl2 Fe1 N2,51,Cl Cl N N,Cl Cl N N,4,2
DONSUV,B,2,1,0,1,Tc,C15 H21 Cl1 N5 O1 S2 Tc1,46,Cl N O S S,Cl N O S S,3,5
DONYOX,B,2,1,0,1,Pd,C26 H35 Br2 N3 O2 Pd1,69,Br Br N N,Br Br N N,4,2
DUHYEM,B,2,1,0,1,Mn,C21 H31 B1 Mn1 N3 O2,59,C C C C C C C C,C C C C C C C C,3,1
DUMHOI,B,2,1,0,1,V,C19 H19 N2 O4 V1,45,N O O O O,N O O O O,3,5
DUQTOA,B,2,1,0,1,Fe,C33 H34 Fe1 N1 P2 1+,71,C C C C C C P P,C C C C C C P P,4,2
DUQVES,B,2,1,0,1,Ru,C33 H34 N1 P2 Ru1 1+,71,C C C C C C P P,C C C C C C P P,4,2
DURREO,B,2,1,0,1,V,C17 H17 N2 O5 V1,42,N O O O O,N O O O O,3,5
EBAQEF,B,2,1,0,1,Ru,C10 H18 Cl2 N4 O2 Ru1 S2,39,Cl Cl N N S S,Cl Cl N N S S,6,2
EBEWUD,B,2,1,0,1,Pd,C27 H39 Cl1 N2 Pd1,70,C Cl N N,C Cl N N,4,2
EBUJIU,B,2,1,0,1,V,C16 H20 N4 O3 V1 1+,44,N N N N O O O,N N N N O O O,3,5
ECIBIC,B,2,1,0,1,Pd,C8 H18 Br2 N4 Pd1,33,Br Br C C,Br Br C C,4,2
ECIBOI,B,2,1,0,1,Pd,C14 H26 Br2 N4 Pd1,47,Br Br C C,Br Br C C,4,2
ECICAV,B,2,1,0,1,Pd,C5 H12 Br2 N4 Pd1,24,Br Br C C,Br Br C C,4,2
ECOPEU,B,2,1,0,1,Pd,C23 H30 Cl1 N2 O1 P1 Pd1,59,C Cl N P,C Cl N P,4,2
ECOPIY,B,2,1,0,1,Pd,C29 H38 Cl1 N2 O1 P1 Pd1,73,C Cl N P,C Cl N P,4,2
EFAWOA,B,2,1,0,1,Ir,C45 H36 Ir1 N3,85,C C C N N N,C C C N N N,5,3
EFINUC,B,2,1,0,1,Ru,C32 H29 N5 O3 Ru1 S1,71,N N N O O S,N N N O O S,4,2
EFIPEQ,B,2,1,0,1,Pd,C28 H34 Cl3 N3 Pd1,69,C Cl Cl N,C Cl Cl N,4,2
EFOTOI,B,2,1,0,1,Cr,C10 H8 Cr1 N2 O5,26,C C C C C C,C C C C C C,2,0
EFOVAW,B,2,1,0,1,Cr,C17 H28 Cr1 N2 O4,52,C C C C C N,C C C C C N,2,0
EGEYAQ,B,2,1,0,1,W,C24 H27 N1 O6 W1,59,C C C C C C,C C C C C C,2,0
EHOCAG,B,2,1,0,1,Re,C33 H38 N3 O3 Re1,78,C C C N N N,C C C N N N,3,1
EHUSOP,B,2,1,0,1,Cr,C14 H14 Cr1 N2 O7,38,C C C C C N,C C C C C N,2,0
EHUSUV,B,2,1,0,1,W,C12 H10 N2 O7 W1,32,C C C C C N,C C C C C N,2,0
EJERUI,B,2,1,0,1,Pd,C24 H8 Br2 F18 N2 O2 Pd1,57,N N O O,N N O O,4,2
EKOROL,B,2,1,0,1,Re,C28 H29 Cl2 O4 P2 Re1,66,Cl Cl O O P P,Cl Cl O O P P,7,5
EMACCR,B,2,1,0,1,Cr,C10 H11 Cr1 N1 O6,29,C C C C C C,C C C C C C,2,0
ENUNAD,B,2,1,0,1,Pd,C25 H23 N3 O3 Pd1,55,N N N O,N N N O,4,2
EPOMUS,B,2,1,0,1,Pd,C35 H36 I1 N4 O1 Pd1 1+,78,C C C I,C C C I,4,2
EPOWUC,B,2,1,0,1,Pd,C38 H33 Cl1 N2 P2 Pd1,77,C Cl N P,C Cl N P,4,2
EPUKUW,B,2,1,0,1,Pd,C28 H38 Br2 N4 O4 P2 Pd1,79,Br Br P P,Br Br P P,4,2
EQADIL,B,2,1,0,1,W,C10 H8 N2 O5 W1,26,N N O O O O O,N N O O O O O,4,6
EQUMEI,B,2,1,0,1,Mo,C15 H13 Mo1 N3 O5,37,N N O O O O O,N N O O O O O,2,6
EROSEJ,B,2,1,0,1,Pt,C32 H24 Pt1 S2,59,C C C C S S,C C C C S S,0,2
ESANES,B,2,1,0,1,Ru,C22 H21 Br2 Cl2 N5 O1 Ru1 S1,55,Cl Cl N N N S,Cl Cl N N N S,4,2
ESINID,B,2,1,0,1,Rh,C28 H33 Cl1 N1 Rh1,64,C C C C C Cl,C C C C C Cl,3,1
ESIZOW,B,2,1,0,1,Ru,C18 H24 Cl2 N4 O2 Ru1 S2,53,Cl Cl N N S S,Cl Cl N N S S,4,2
ESODEW,B,2,1,0,1,W,C24 H17 N1 O5 Si1 W1,49,C C C C C C,C C C C C C,2,0
ESUYAT,B,2,1,0,1,Fe,C28 H34 Fe1 N12 O2,77,N N N N O O,N N N N O O,4,2
ETANES,B,2,1,0,1,Pt,C24 H27 F7 N2 Pt1,61,C C N N,C C N N,4,2
ETETAA,B,2,1,0,1,Pt,C14 H19 Cl1 O3 Pt1 S3,41,Cl O S S,Cl O S S,4,2
EVACUZ,B,2,1,0,1,Ni,C21 H22 Cl2 N1 Ni1 O1 P1,49,Cl Cl N P,Cl Cl N P,4,2
EVAKER,B,2,1,0,1,V,C12 H8 N2 O9 V1 1-,32,N N O O O O O,N N O O O O O,3,5
EYORIV,B,2,1,0,1,Cr,C16 H15 Cr1 N1 O6,39,C C C C C C,C C C C C C,2,0
EYORUH,B,2,1,0,1,W,C10 H5 N1 O5 S1 W1,23,C C C C C C,C C C C C C,2,0
EYOSAO,B,2,1,0,1,W,C10 H5 N1 O6 W1,23,C C C C C C,C C C C C C,2,0
EZAFOB,B,2,1,0,1,Ru,C8 H26 Cl1 N2 O3 Ru1 S3 1+,44,Cl N N S S S,Cl N N S S S,4,2
EZAFUH,B,2,1,0,1,Ru,C12 H32 Cl1 N2 O3 Ru1 S3 1+,54,Cl N N S S S,Cl N N S S S,4,2
EZAGAO,B,2,1,0,1,Ru,C6 H24 Cl1 N2 O3 Ru1 S3 1+,40,Cl N N S S S,Cl N N S S S,6,2
EZAGES,B,2,1,0,1,Ru,C12 H22 Cl1 N1 O5 Ru1 S3,45,Cl N O S S S,Cl N O S S S,6,2
FACBIV,B,2,1,0,1,Fe,C25 H23 Fe1 N1 O5,55,C C C C C C C,C C C C C C C,2,0
FAJCIC,B,2,1,0,1,Os,C12 H20 Cl2 O1 Os1 S1,37,C C C C C C Cl Cl S,C C C C C C Cl Cl S,4,2
FAJFEC,B,2,1,0,1,Co,C12 H32 Co1 N4 O2 1+,51,N N N N O O,N N N N O O,1,3
FAKMOT,B,2,1,0,1,Ru,C22 H20 N5 O2 Ru1 1+,50,N N N N N O,N N N N N O,4,2
FAWFIT,B,2,1,0,1,Re,C15 H8 Cl1 N2 O4 Re1,31,C C C Cl N N,C C C Cl N N,3,1
FAXKUL,B,2,1,0,1,Ru,C28 H22 Cl1 N7 O1 Ru1 S1,61,Cl N N N N S,Cl N N N N S,4,2
FEGSUI,B,2,1,0,1,Mn,C20 H32 Mn1 N3 O3 P2,61,C C C N P P,C C C N P P,3,1
FEPHUD,B,2,1,0,1,Ir,C32 H38 Ir1 O2 P2 S2 1+,77,O O P P S S,O O P P S S,1,3
FETHET,B,2,1,0,1,Ir,C36 H39 B1 Ir1 N7,84,C C C N N N,C C C N N N,5,3
FEVYEL,B,2,1,0,1,Pt,C20 H16 N4 O4 Pt1 S2,47,N N S S,N N S S,0,2
FEXRUV,B,2,1,0,1,Pt,C16 H19 Cl1 N2 Pt1,39,C Cl N N,C Cl N N,4,2
FEYCEU,B,2,1,0,1,Ni,C22 H28 Br2 N2 Ni1,55,Br Br N N,Br Br N N,4,2
FEZJEB,B,2,1,0,1,Fe,C32 H32 Fe1 N6 O4,75,N N N N O O,N N N N O O,4,2
FIBCUO,B,2,1,0,1,Mo,C20 H32 B1 Mo1 N7 S3,64,C N N N S S S,N N N S S S,6,4
FIHNEP,B,2,1,0,1,Cr,C21 H18 Cr1 N1 O5 P1,47,C C C C C P,C C C C C P,2,0
FIJFOW,B,2,1,0,1,Cu,C32 H41 Cu1 N2,76,C C,C C,3,1
FINTEC,B,2,1,0,1,Cr,C20 H18 Cr1 N1 O4 P1,45,C C C C C P,C C C C C P,2,0
FINTIG,B,2,1,0,1,W,C20 H18 N1 O4 P1 W1,45,C C C C C P,C C C C C P,2,0
FINVAA,B,2,1,0,1,W,C11 H13 N1 O5 S2 W1,33,C C C C C C,C C C C C C,2,0
FINVII,B,2,1,0,1,Cr,C10 H13 Cr1 N1 O4 S2,31,C C C C C S,C C C C C S,2,0
FINVOO,B,2,1,0,1,Cr,C9 H11 Cr1 N1 O4 S1,27,C C C C C S,C C C C C S,2,0
FINVUU,B,2,1,0,1,W,C9 H11 N1 O4 S1 W1,27,C C C C C S,C C C C C S,2,0
FIQPOK,B,2,1,0,1,Pd,C24 H16 N10 Pd1 S2,53,N N S S,N N S S,0,2
FIRFAO,B,2,1,0,1,Cr,C18 H18 Cr1 N2 O5,44,C C C C C C,C C C C C C,2,0
FIRFES,B,2,1,0,1,Cr,C23 H20 Cr1 N2 O5,51,C C C C C C,C C C C C C,2,0
FIWNOQ,B,2,1,0,1,Pt,C11 H16 Cl2 N2 O3 Pt1 S1,36,Cl Cl N S,Cl Cl N S,4,2
FMBCNI,B,2,1,0,1,Ni,C10 H12 B2 F2 Ni1 O2,29,B B C C C C C C,B B C C C C C C,4,0
FOCSIA,B,2,1,0,1,Pt,C32 H38 N2 O2 P2 Pt1,77,C C P P,C C P P,4,2
FOGMIX,B,2,1,0,1,W,C15 H14 N2 O6 W1,38,C C C C C C,C C C C C C,2,0
FORNAC,B,2,1,0,1,Pd,C30 H38 Br2 N4 Pd1,75,Br Br C C,Br Br C C,4,2
FORNIL,B,2,0,1,1,Fe,C22 H13 Fe1 N1 O5,42,C C C C C,C C C C C C,2,0
FOXZOH,B,2,1,1,0,Mo,C6 H4 Mo1 N1 O8 1-,20,O O O O O O,O O O O O O O,2,5
FOYPIU,B,2,1,0,1,Au,C33 H34 Au1 Cl1 N2,71,C Cl,C Cl,3,1
FUPSAM,B,2,1,0,1,Fe,C24 H18 Fe1 N8 O2,53,N N N N O O,N N N N O O,4,2
FUQTOC,B,2,1,1,0,Ir,C27 H26 Ir1 N1,55,C C C C N,C C C C C N,1,1
FUSTIY,B,2,1,0,1,Pt,C26 H17 N5 Pt1,49,C N N N,C N N N,4,2
FUSTOE,B,2,1,0,1,Pt,C30 H25 N5 Pt1,61,C N N N,C N N N,4,2
FUVNAN,B,2,1,0,1,Au,C40 H29 Au1 Br4 N3 P1,78,N N P,N P,3,1
GABBOB,B,2,1,0,1,Pt,C11 H17 N1 O4 Pt1 S2,36,O O S S,O O S S,0,2
GABBUH,B,2,1,0,1,Pt,C11 H17 N1 O5 Pt1 S2,37,O O S S,O O S S,0,2
GABPUU,B,2,1,0,1,Fe,C34 H33 Fe1 N1 O1 P1 1+,71,C C C C C C C P,C C C C C C C P,4,2
GABYUD,B,2,1,0,1,Cr,C18 H17 Cr1 N1 O6,43,C C C C C C,C C C C C C,2,0
GAFHEC,B,2,1,1,0,Ni,C16 H18 Br2 N2 Ni1,39,Br Br H N N,Br Br N N,2,2
GAFRIO,B,2,1,0,1,Pd,C17 H18 N3 Pd1 1+,39,C N N N,C N N N,4,2
GAJGOP,B,2,1,0,1,Cu,C42 H33 B1 Cl1 Cu1 P2,80,B C C Cl P P,B C Cl P P,3,1
GAJGUV,B,2,1,0,1,Cu,C30 H41 B1 Cl1 Cu1 P2,76,B Cl P P,B C Cl P P,3,1
GALLIR,B,2,1,0,1,Pd,C24 H25 Cl2 N3 O1 Pd1,56,C C Cl Cl,C C Cl Cl,4,2
GAMHIO,B,2,1,0,1,Ag,C37 H44 Ag1 Br1 N2,85,Br C,Br C,3,1
GAMHOU,B,2,1,0,1,Cu,C37 H44 Br1 Cu1 N2,85,Br C,Br C,3,1
GAMLEM,B,2,1,0,1,W,C9 H6 N1 O6 W1 1-,23,N O O O O O O,N O O O O O O,2,6
GAQTEA,B,2,1,0,1,Ru,C16 H20 Cl2 N2 O6 Ru1 S2,49,Cl Cl N N S S,Cl Cl N N S S,4,2
GATSIG,B,2,1,0,1,Pd,C31 H33 Cl2 N2 P1 Pd1,70,Cl Cl N P,Cl Cl N P,4,2
GAXHUI,B,2,1,0,1,Ti,C24 H24 N4 O4 Ti1,57,N N O O O O,N N O O O O,2,4
GAXJEU,B,2,1,0,1,Ti,C34 H28 N4 O4 Ti1,71,N N O O O O,N N O O O O,2,4
GECPUC,B,2,1,0,1,V,C18 H18 N3 O4 V1,44,N O O O O,N O O O O,3,5
GEFBUR,B,2,1,0,1,Mo,C6 H4 Mo1 N1 O7 1-,19,N O O O O O O,N O O O O O O,2,6
GEFXAT,B,2,1,0,1,Pd,C12 H14 Cl2 N2 O4 Pd1 S1,36,Cl N N S,Cl N N S,4,2
GENSOK,B,2,1,0,1,Pd,C17 H17 N3 O3 Pd1,41,N N N O,N N N O,4,2
GEPZEG,B,2,1,0,1,Co,C12 H36 Co1 O12 P4 1-,65,P P P P,P P P P,1,-1
GESFOB,B,2,1,0,1,Pd,C20 H23 Cl2 N2 O1 P1 Pd1,50,Cl Cl N P,Cl Cl N P,4,2
GETJUK,B,2,1,0,1,Pt,C12 H6 N6 Pt1 S2,27,N N S S,N N S S,0,2
GEXLIH,B,2,1,0,1,Pd,C22 H20 F12 O4 P2 Pd1,61,C C P P,C C P P,4,2
GEYWEO,B,2,1,0,1,Pt,C20 H26 Cl2 N8 Pt1,57,Cl Cl N N,Cl Cl N N,4,2
GEYWUE,B,2,1,0,1,Pt,C20 H30 Cl2 N8 Pt1,61,Cl Cl N N,Cl Cl N N,4,2
GIFDEG,B,2,1,0,1,Ni,C40 H29 F6 N4 Ni1 O2 P1,83,N O O P,N O O P,0,2
GIKGUC,B,2,1,0,1,Zr,C18 H40 P4 Zr1,63,C C C C C C P P P P,C C C C C C P P P P,4,2
GILGUD,B,2,1,0,1,W,C9 H16 O3 Si1 W1,30,C C C C C C O O O,C C C C C C O O O,4,6
GILLIZ,B,2,1,0,1,Ru,C40 H27 N6 O1 Ru1 1+,75,N N N N N O,N N N N N O,4,2
GILQOI,B,2,1,0,1,Ru,C32 H29 N2 P1 Ru1 S2,67,C C C C C C P S S,C C C C C C P S S,0,2
GIRDET,B,2,1,0,1,Pt,C18 H15 Br1 Cl2 N2 O3 Pt1 S1,43,Cl Cl N S,Cl Cl N S,4,2
GIRDIX,B,2,1,0,1,Pt,C18 H14 Cl2 F2 N2 O3 Pt1 S1,43,Cl Cl N S,Cl Cl N S,4,2
GIRDOD,B,2,1,0,1,Pt,C18 H14 Cl4 N2 O3 Pt1 S1,43,Cl Cl N S,Cl Cl N S,4,2
GIRDUJ,B,2,1,0,1,Pt,C18 H14 Br2 Cl2 N2 O3 Pt1 S1,43,Cl Cl N S,Cl Cl N S,4,2
GIRFES,B,2,1,0,1,Zr,C13 H21 Cl1 O2 P2 Zr1,40,C C C C C C C Cl P P,C C C C C C C Cl P P,4,2
GISRAD,B,2,1,0,1,Pt,C19 H20 Cl2 N2 O3 Pt1 S1,48,Cl Cl N S,Cl Cl N S,4,2
GISRIL,B,2,1,0,1,Pt,C13 H13 Cl1 F3 N3 O3 Pt1 S1,38,Cl N N S,Cl N N S,4,2
GIWNEH,B,2,1,0,1,Cr,C10 H5 Cr1 N1 O6,23,C C C C C C,C C C C C C,2,0
GIWPAF,B,2,1,0,1,Cr,C11 H8 Cr1 N2 O5,27,C C C C C C,C C C C C C,2,0
GIXCIA,B,2,1,0,1,Os,C24 H36 N4 O2 Os1 S2,69,C C N N S S,C C N N S S,4,2
GIYZOF,B,2,1,0,1,Zn,C37 H39 F5 N2 Zn1,84,C C,C C C,0,2
GOCFOU,B,2,1,0,1,W,C21 H24 N2 O6 W1,54,C C C C C C,C C C C C C,4,0
GODZAC,B,2,1,0,1,Pt,C50 H31 N3 Pt1,85,C N N N,C N N N,4,2
GOGGEO,B,2,1,0,1,Co,C24 H21 Co1 O3 P1 1-,50,C C C P,C C C P,1,-1
GOGYIN,B,2,1,0,1,Ni,C26 H24 N10 Ni1 O2,63,N N N N O O,N N N N O O,4,2
GOMVEJ,B,2,1,0,1,Pt,C13 H18 N3 O1 Pt1 S1 1+,37,C N N S,C N N S,4,2
GOMYOZ,B,2,1,0,1,Ru,C18 H23 Cl2 N1 O3 Ru1 S3,51,Cl N O S S S,Cl N O S S S,4,2
GONHEW,B,2,1,0,1,Ni,C43 H29 N5 Ni1 O1,79,N N N N,N N N N,4,2
GORYIV,B,2,1,0,1,Mn,C28 H34 Br2 Mn1 N3 O2,70,N N N O O,N N N O O,3,5
GOTTOY,B,2,1,0,1,Mn,C24 H28 Mn1 N3 O4,60,N N N O O,N N N O O,7,5
GOYNOX,B,2,1,0,1,W,C23 H29 Cl3 N2 W1,58,C C C C C Cl Cl Cl N N,C C C C C Cl Cl Cl N N,6,4
GUCBIR,B,2,1,0,1,Fe,C23 H19 F6 Fe1 N5 O6 S2,62,N N N O O,N N N O O,4,2
GUGZEN,B,2,1,0,1,Pt,C6 H13 Cl2 N1 O2 Pt1 S1,26,Cl Cl N S,Cl Cl N S,4,2
GUGZIR,B,2,1,0,1,Pt,C6 H13 Cl2 N1 O2 Pt1 S1,26,Cl Cl N S,Cl Cl N S,4,2
GUJCOD,B,2,1,0,1,Ru,C21 H11 N5 O2 Ru1 S2,42,C C N N S S,C C N N S S,0,2
GULQOU,B,2,1,0,1,V,C13 H10 N3 O8 V1,35,N N O O O O,N N O O O O O,3,5
GULZUJ,B,2,1,0,1,Ni,C28 H16 N6 Ni1,51,C C N N,C C N N,4,2
GUNGUT,B,2,1,0,1,Ru,C30 H18 Cl1 F1 N6 O4 Ru1,61,C Cl N N N N,C Cl N N N N,4,2
GUSRUI,B,2,1,0,1,Pd,C15 H14 Cl2 N4 Pd1,36,Cl Cl N N,Cl Cl N N,4,2
GUSSAP,B,2,1,0,1,Pd,C21 H17 Cl2 N5 Pd1,46,Cl N N N,Cl N N N,4,2
HACDOE,B,2,1,0,1,Fe,C13 H20 Fe1 N2 O5,41,C C C C O,C C C C O,2,0
HAHXOF,B,2,1,0,1,Os,C26 H40 Cl2 O2 Os1 P2 S1,74,Cl Cl O P P S,Cl Cl O P P S,4,2
HAJHOP,B,2,1,0,1,Re,C25 H15 O5 Re1,46,C C C C C O,C C C C C O,3,1
HAJNIP,B,2,1,0,1,W,C20 H15 N1 O6 W1,43,C C C C C C,C C C C C C,2,0
HAKHEG,B,2,1,0,1,Pt,C12 H12 N2 Pt1 S2,29,C C C C S S,C C C C S S,0,2
HALNAK,B,2,1,0,1,Cr,C21 H17 Cr1 N1 O4 S1,45,C C C C C S,C C C C C S,2,0
HARWII,B,2,1,0,1,Au,C27 H28 Au1 Cl1 N2,59,C Cl,C Cl,3,1
HARWOO,B,2,1,0,1,Au,C33 H32 Au1 Cl1 N2,69,C Cl,C Cl,3,1
HAWPIF,B,2,1,0,1,Ag,C13 H12 Ag1 N3 O3 S1,33,N N N O,N N N,3,1
HAXPEE,B,2,1,0,1,Co,C18 H24 Co1 N8 S2 1+,53,N N N N S S,N N N N S S,1,3
HAYHOG,B,2,1,0,1,Re,C30 H39 Cl2 O5 P2 Re1,79,Cl Cl O O P P,Cl Cl O O P P,7,5
HECYIY,B,2,1,0,1,Cr,C17 H13 Cr1 N3 O5,39,C C C C C C,C C C C C C,2,0
HENVUS,B,2,1,0,1,Rh,C37 H45 P1 Rh1 1+,84,C C C C P,C C C C C C C C P,3,1
HERBAI,B,2,1,0,1,Pd,C35 H29 N1 P2 Pd1 S2,70,P P S S,P P S S,0,2
HESBUD,B,2,1,0,1,Ru,C14 H20 Cl2 N2 O2 Ru1 S2,43,Cl Cl N N S S,Cl Cl N N S S,4,2
HEYDEW,B,2,1,0,1,Mn,C23 H20 Mn1 N4 O3 1+,51,C C C C N N,C C C C N N,3,1
HIGBEF,B,2,1,0,1,Pt,C13 H13 Cl1 F1 N1 O1 Pt1 S1,32,C Cl N S,C Cl N S,4,2
HIGDIL,B,2,1,0,1,Fe,C26 H18 Br2 Fe1 N6 O2,55,N N N N O O,N N N N O O,4,2
HIGDOR,B,2,1,0,1,Cr,C35 H35 Cr1 N1 O3 P2,77,C C C C P P,C C C C P P,2,0
HIGXAW,B,2,1,0,1,Mo,C22 H20 Mo1 N2 O5,50,N O O O O,N O O O O O,4,6
HINMAT,B,2,1,0,1,Pd,C18 H15 N5 O2 Pd1 S2,43,N N N O,N N N O,4,2
HIQDUG,B,2,1,0,1,V,C25 H22 N3 O5 V1,56,N O O O O O,N O O O O O,3,5
HIQPIH,B,2,1,0,1,Ru,C20 H16 Cl2 N4 Ru1,43,Cl Cl N N N N,Cl Cl N N N N,4,2
HISLUT,B,2,1,0,1,Os,C30 H40 O4 Os1 P2,77,C C C P P,C C C P P,2,0
HISNOM,B,2,1,0,1,Pt,C18 H22 N2 O2 Pt1,45,C C N N,C C N N,4,2
HISYAJ,B,2,1,0,1,Ru,C19 H23 Cl1 O3 Ru1 S1,48,C C C C C C Cl O S,C C C C C C Cl O S,4,2
HISYIR,B,2,1,0,1,Ru,C21 H27 Cl1 O3 Ru1 S1,54,C C C C C C Cl O S,C C C C C C Cl O S,4,2
HIVPEI,B,2,1,0,1,Ru,C17 H16 Cl3 N3 O1 Ru1 S1,42,Cl Cl N N N S,Cl Cl N N N S,4,2
HIWLUX,B,2,1,0,1,Pt,C20 H24 I2 N2 Pt1,49,I I N N,I I N N,4,2
HIZDEA,B,2,1,0,1,Ru,C30 H20 N5 O2 Ru1 1+,58,N N N N N O,N N N N N O,4,2
HODGAI,B,2,1,0,1,Cr,C17 H21 Cr1 N1 O10,50,C C C C C C,C C C C C C,2,0
HOGNOI,B,2,1,0,1,Ru,C30 H27 N4 O3 Ru1 S1 1+,66,N N N N O S,N N N N O S,4,2
HOLBUG,B,2,1,0,1,Ni,C25 H44 Cl1 N3 Ni1 O3 P2,79,C C C P,C C C P,2,0
HOLVEJ,B,2,1,0,1,Ni,C20 H20 N4 Ni1 O4,49,N N O O,N N O O,0,2
HONNAA,B,2,1,0,1,Ru,C36 H30 F5 O2 P1 Ru1,75,C C C C C C O O P,C C C C C C O O P,2,4
HONVEN,B,2,1,0,1,Mn,C34 H22 Cl2 Mn1 N2 O5 1-,66,N N O O O,N N O O O,3,5
HOQYER,B,2,1,0,1,Ru,C36 H35 O2 P1 Ru1,75,C C C C C C O O P,C C C C C C O O P,2,4
HORZOG,B,2,1,0,1,Ru,C30 H23 N5 O4 Ru1,63,N N N N N O,N N N N N O,4,2
HOTXUJ,B,2,1,0,1,Ru,C20 H16 Cl2 N8 Ru1,47,Cl Cl N N N N,Cl Cl N N N N,4,2
HOZZON,B,2,1,0,1,Mo,C16 H16 Mo1 N2 O6,41,N O O O O O O,N O O O O O O,4,6
HUBVUX,B,2,1,0,1,Ru,C27 H23 Br1 Cl1 N4 Ru1 S1 1+,58,C C C C C C Cl N N,C C C C C C Cl N N,4,2
HUJMEE,B,2,1,0,1,Pt,C10 H17 Cl1 N4 O6 Pt1 S1,40,Cl N N S,Cl N N S,4,2
HUJVUD,B,2,1,0,1,Ni,C12 H18 N4 Ni1 O1 S1,37,N N N O,N N N O,0,2
HUJWAK,B,2,1,0,1,Ni,C17 H20 N4 Ni1 O1 S1,44,N N N O,N N N O,0,2
HUMBUO,B,2,1,0,1,Ru,C22 H35 Cl1 O2 Ru1,61,C C C C C C C C C Cl,C C C C C C C C C Cl,4,2
HUNYOF,B,2,1,0,1,Fe,C36 H26 Fe1 N8 O2,73,N N N N O O,N N N N O O,4,2
HUPGOQ,B,2,1,0,1,Ir,C33 H36 Ir1 N6 1+,76,C C C C C N N N,C C C C C N N N,5,3
HUPHIL,B,2,1,0,1,Ir,C30 H31 Ir1 N8,70,C C C C C N N N,C C C C C N N N,5,3
HUWROG,B,2,1,0,1,Ru,C7 H18 Cl2 O4 Ru1 S3,35,C Cl Cl O S S,C Cl Cl O S S,6,2
HUXJOB,B,2,1,0,1,Rh,C33 H32 Cl1 N2 Rh1,69,C C C C C Cl,C C C C C Cl,3,1
